question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
"For each user, find their name and the number of reviews written by them.",بالنسبة لكل مستخدم، ابحث عن اسمهم وعدد التقييمات التي كتبوها.,,,,,
Find the name of the user who gave the highest rating.,ما هو اسم المستخدم الذي قدم أعلى تقييم؟,,,,,
Find the name of the source user with the highest average trust score.,ما هو اسم المستخدم المصدر الذي يحمل أعلى متوسط ​​للمصداقية؟,,,,,
Find each target user's name and average trust score.,ابحث عن اسماء المستخدمين المستهدفين ومتوسط ​​المصداقية.,,,,,
Find the name of the target user with the lowest trust score.,ما هو اسم المستخدم المستهدف الذي يحمل أدنى مصداقية؟,,,,,
Find the names of the items that did not receive any review.,ما هي أسماء العناصر التي لم تتلقى أي مراجعة؟,,,,,
Find the names of users who did not leave any review.,ما هي أسماء المستخدمين الذين لم يتركوا أي مراجعة؟,,,,,
Find the number of users who did not write any review.,ما هو عدد المستخدمين الذين لم يكتبوا أي مراجعة؟,,,,,
Find the number of items without any review.,ما هو عدد العناصر التي لم تتلقى أي مراجعة؟,,,,,
How many players are there?,كم عدد اللاعبين؟,,,,,
List the names of players in ascending order of votes.,قائمة أسماء اللاعبين بترتيب تصاعدي حسب الأصوات.,,,,,
What are the gender and occupation of players?,ما هي الجنسية والمهنة للاعبين؟,,,,,
"List the name and residence for players whose occupation is not ""Researcher"".","قائمة الاسم والإقامة للاعبين الذين ليسوا ""باحثين"".",,,,,
"Show the names of sponsors of players whose residence is either ""Brandon"" or ""Birtle"".","عرض أسماء الرعاة للاعبين الذين يقيمون إما في ""براندون"" أو ""بيرتل"".",,,,,
What is the name of the player with the largest number of votes?,ما هو اسم اللاعب الذي يحمل أكبر عدد من الأصوات؟,,,,,
Show different occupations along with the number of players in each occupation.,عرض المهن المختلفة جنبًا إلى جنب مع عدد اللاعبين في كل مهنة.,,,,,
Please show the most common occupation of players.,الرجاء عرض الوظيفة الأكثر شيوعًا بين اللاعبين.,,,,,
Show the residences that have at least two players.,عرض الإقامات التي يوجد فيها لاعبان على الأقل.,,,,,
Show the names of players and names of their coaches.,عرض أسماء اللاعبين وأسماء مدربيهم.,,,,,
Show the names of players coached by the rank 1 coach.,عرض أسماء اللاعبين الذين يتم تدريبهم بواسطة المدرب من رتبة 1.,,,,,
Show the names and genders of players with a coach starting after 2011.,عرض أسماء وأنواع الجنس للاعبين الذين لديهم مدرب يبدأ بعد عام 2011.,,,,,
Show the names of players and names of their coaches in descending order of the votes of players.,عرض أسماء اللاعبين وأسماء مدربيهم بترتيب تنازلي حسب عدد الأصوات التي حصلوا عليها.,,,,,
List the names of players that do not have coaches.,قائمة أسماء اللاعبين الذين ليس لديهم مدربون.,,,,,
"Show the residences that have both a player of gender ""M"" and a player of gender ""F"".","عرض الإقامات التي تحتوي على لاعب من الجنس ""ذكر"" ولاعب من الجنس ""أنثى"".",,,,,
"How many coaches does each club has? List the club id, name and the number of coaches.",كم مدرب يمتلك كل نادٍ؟ قائمة معرف النادي والاسم وعدد المدربين.,,,,,
How many gold medals has the club with the most coaches won?,كم عدد الميداليات الذهبية التي فاز بها النادي الذي يمتلك أكبر عدد من المدربين؟,,,,,
How many gymnasts are there?,كم عدد الجمبازين؟,,,,,
Count the number of gymnasts.,عدد الجمبازين.,,,,,
List the total points of gymnasts in descending order.,قائمة نقاط الجمبازين بترتيب تنازلي.,,,,,
"What are the total points for all gymnasts, ordered by total points descending?",ما هي النقاط الإجمالية لجميع الجمبازين، مرتبة حسب النقاط الإجمالية بترتيب تنازلي؟,,,,,
List the total points of gymnasts in descending order of floor exercise points.,قائمة نقاط الجمبازين بترتيب تنازلي حسب نقاط تمرين الأرض.,,,,,
"What are the total points of gymnasts, ordered by their floor exercise points descending?",ما هي النقاط الإجمالية للجمبازين، مرتبة حسب نقاط ممارسة الأرض تنازليًا؟,,,,,
What is the average horizontal bar points for all gymnasts?,ما هو متوسط نقاط العارضة الأفقية لجميع الجمبازين؟,,,,,
Return the average horizontal bar points across all gymnasts.,ارجاع المتوسط ​​لنقاط العارضة الأفقية عبر جميع الجمبازين.,,,,,
What are the names of people in ascending alphabetical order?,ما هي أسماء الأشخاص بترتيب أبجدي تصاعدي؟,,,,,
